"event","source","source_id","annotator","annotation_id","annotation_date","annotation_info_url","recording_url","recording_info_url","time_start","time_end","freq_low","freq_high","species","type","lat","lon","alt","effort","contact","additional","taxon","matchId"
"PamGuard64 2_00_16e Drift-10_Final.OE13","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE13",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40699020","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",2.797,38.741,NA,NA,TRUE,"echolocation click event",36.2711347566372,-124.81700111267,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE13"
"PamGuard64 2_00_16e Drift-10_Final.OE14","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE14",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40699239","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",0.449,23.158,NA,NA,TRUE,"echolocation click event",36.2499177411985,-124.793137741199,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE14"
"PamGuard64 2_00_16e Drift-10_Final.OE15","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE15",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40699803","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,50.513,NA,NA,TRUE,"echolocation click event",36.2241354137913,-124.762371528343,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE15"
"PamGuard64 2_00_16e Drift-10_Final.OE16","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE16",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40700812","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,6.038,NA,NA,TRUE,"echolocation click event",36.1696368184183,-124.67790023216,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE16"
"PamGuard64 2_00_16e Drift-10_Final.OE17","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE17",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40699845","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,91.844,NA,NA,TRUE,"echolocation click event",36.1565118894483,-124.641041316947,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE17"
"PamGuard64 2_00_16e Drift-10_Final.OE18","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE18",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40699722","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,38.175,NA,NA,TRUE,"echolocation click event",36.1297566239555,-124.584068577022,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE18"
"PamGuard64 2_00_16e Drift-10_Final.OE19","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE19",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40698967","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,40.764,NA,NA,TRUE,"echolocation click event",36.1282849933776,-124.578302749007,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE19"
"PamGuard64 2_00_16e Drift-10_Final.OE20","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE20",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40698739","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,8.318,NA,NA,TRUE,"echolocation click event",36.1126210792144,-124.514362479244,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE20"
"PamGuard64 2_00_16e Drift-10_Final.OE21","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE21",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40700385","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,10.164,NA,NA,TRUE,"echolocation click event",36.0934492694763,-124.374424041281,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE21"
"PamGuard64 2_00_16e Drift-10_Final.OE23","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE23",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40699290","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,10.013,NA,NA,TRUE,"echolocation click event",36.6045773269014,-123.161868645004,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE23"
"PamGuard64 2_00_16e Drift-10_Final.OE25","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE25",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40699710","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,40.25,NA,NA,TRUE,"echolocation click event",36.5289610571364,-122.8290523575,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE25"
"PamGuard64 2_00_16e Drift-10_Final.OE26","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE26",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40699995","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,21.68,NA,NA,TRUE,"echolocation click event",36.3953214173889,-122.716777966625,NA,NA,"shannon.rankin@noaa.gov",NA,"possible Ziphiidae","PamGuard64 2_00_16e Drift-10_Final.OE26"
"PamGuard64 2_00_16e Drift-10_Final.OE28","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE28",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40700572","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",0.385,118.629,NA,NA,TRUE,"echolocation click event",36.3850673955833,-122.719878385,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphiidae","PamGuard64 2_00_16e Drift-10_Final.OE28"
"PamGuard64 2_00_16e Drift-10_Final.OE30","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE30",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40699812","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,89.639,NA,NA,TRUE,"echolocation click event",35.8692026094999,-122.720665572783,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE30"
"PamGuard64 2_00_16e Drift-10_Final.OE31","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE31",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40698379","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",1.887,30.447,NA,NA,TRUE,"echolocation click event",36.1013013235677,-122.869720089458,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE31"
"PamGuard64 2_00_16e Drift-10_Final.OE32","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE32",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40700634","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",0.345,119.892,NA,NA,TRUE,"echolocation click event",35.9283809515555,-122.893383910528,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE32"
"PamGuard64 2_00_16e Drift-10_Final.OE33","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE33",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40700109","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,68.985,NA,NA,TRUE,"echolocation click event",35.8938920977,-122.935155594961,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE33"
"PamGuard64 2_00_16e Drift-10_Final.OE34","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE34",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40698684","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,108.805,NA,NA,TRUE,"echolocation click event",35.8924119200001,-122.937412115714,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE34"
"PamGuard64 2_00_16e Drift-10_Final.OE35","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE35",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40699173","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,9.719,NA,NA,TRUE,"echolocation click event",35.8808847286072,-123.075289662143,NA,NA,"shannon.rankin@noaa.gov",NA,"possible Ziphiidae","PamGuard64 2_00_16e Drift-10_Final.OE35"
"PamGuard64 2_00_16e Drift-10_Final.OE36","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE36",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40698642","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,42.537,NA,NA,TRUE,"echolocation click event",35.8806378063778,-123.076614293644,NA,NA,"shannon.rankin@noaa.gov",NA,"possible Ziphiidae","PamGuard64 2_00_16e Drift-10_Final.OE36"
"PamGuard64 2_00_16e Drift-10_Final.OE37","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE37",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40698954","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,102.053,NA,NA,TRUE,"echolocation click event",35.9049689557668,-123.121801459122,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE37"
"PamGuard64 2_00_16e Drift-10_Final.OE38","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE38",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40698396","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,29.057,NA,NA,TRUE,"echolocation click event",35.9069884902468,-123.123595778963,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE38"
"PamGuard64 2_00_16e Drift-10_Final.OE39","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE39",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40700745","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,67.303,NA,NA,TRUE,"echolocation click event",35.9209180465679,-123.135146064148,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE39"
"PamGuard64 2_00_16e Drift-10_Final.OE40","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE40",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40699003","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,110.972,NA,NA,TRUE,"echolocation click event",35.927151467693,-123.13932562277,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE40"
"PamGuard64 2_00_16e Drift-10_Final.OE41","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE41",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40698454","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",0.195,118.432,NA,NA,TRUE,"echolocation click event",35.9359796551277,-123.145353143846,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE41"
"PamGuard64 2_00_16e Drift-10_Final.OE42","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE42",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40700085","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,6.676,NA,NA,TRUE,"echolocation click event",36.0090396022177,-123.194911295096,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE42"
"PamGuard64 2_00_16e Drift-10_Final.OE43","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE43",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40699783","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,7.785,NA,NA,TRUE,"echolocation click event",36.0113948096051,-123.196372404803,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE43"
"PamGuard64 2_00_16e Drift-10_Final.OE45","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE45",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40698187","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",0.876,118.736,NA,NA,TRUE,"echolocation click event",36.037088933641,-123.198850979897,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE45"
"PamGuard64 2_00_16e Drift-10_Final.OE46","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE46",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40700881","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",3.049,17.581,NA,NA,TRUE,"echolocation click event",36.0544139511297,-123.185152727296,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE46"
"PamGuard64 2_00_16e Drift-10_Final.OE47","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE47",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40699699","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,29.015,NA,NA,TRUE,"echolocation click event",36.076719406173,-123.195951436705,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE47"
"PamGuard64 2_00_16e Drift-10_Final.OE49","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE49",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40700506","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,75.3,NA,NA,TRUE,"echolocation click event",36.1344804819792,-123.129457064757,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE49"
"PamGuard64 2_00_16e Drift-10_Final.OE48","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE48",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40698598","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,111.364,NA,NA,TRUE,"echolocation click event",36.1345052385417,-123.127765366319,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE48"
"PamGuard64 2_00_16e Drift-10_Final.OE50","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE50",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40698721","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,61.014,NA,NA,TRUE,"echolocation click event",36.0440601732855,-122.849332493452,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE50"
"PamGuard64 2_00_16e Drift-10_Final.OE51","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE51",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40700205","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,81.173,NA,NA,TRUE,"echolocation click event",35.9813640941111,-122.860134081778,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE51"
"PamGuard64 2_00_16e Drift-10_Final.OE52","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE52",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40699426","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",1.015,48.632,NA,NA,TRUE,"echolocation click event",35.9801959029166,-122.860737540333,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE52"
"PamGuard64 2_00_16e Drift-10_Final.OE53","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE53",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40699642","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",1.02,118.262,NA,NA,TRUE,"echolocation click event",35.8876465542857,-122.919475577778,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE53"
"PamGuard64 2_00_16e Drift-10_Final.OE54","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE54",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40699060","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,22.971,NA,NA,TRUE,"echolocation click event",35.9253748397157,-123.175085743023,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE54"
"PamGuard64 2_00_16e Drift-10_Final.OE55","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE55",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40700430","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",0.312,104.191,NA,NA,TRUE,"echolocation click event",36.0461427369237,-123.186891257486,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE55"
"PamGuard64 2_00_16e Drift-10_Final.OE56","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE56",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40699069","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,8.707,NA,NA,TRUE,"echolocation click event",36.1813385644103,-123.124284035307,NA,NA,"shannon.rankin@noaa.gov",NA,"possible Ziphiidae","PamGuard64 2_00_16e Drift-10_Final.OE56"
